title,pageid,wikitext
Aç kurt arslana saldırır,230265,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Aç]] [[kurt]] [[arslan]]a saldırır

:[1] Açın gözü kararmıştır. O, karnını doyurmak için gerekirse ölümü göze alarak kendisinden kat kat güçlü olan yaratıklarla boğuşur.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Aç kurt aslana saldırır,400425,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}

:[1] [[Aç]] [[kimse]] karnını [[doyurmak]] [[için]] gerekirse [[ölüm]]ü göze alır.

====Köken====
:[1] {{köken|dil=tr|tr}}

====Kaynakça====
{{Kaynak-TDK|{{PAGENAME}}}}"
Aç kurt yavrusunu yer,230266,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Aç]] kurt yavrusunu yer

:[1] Aç olan, karnını doyurmak için canavarlığın en korkuncunu yapar.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
"Aç ne yemez, tok ne demez",230267,"==Türkçe==

===Atasözü===
{{başlık başı|tr|atasözü}}
[[Aç]] ne yemez, tok ne demez

# Yoksul kişi eline geçen şeyin iyisine kötüsüne bakmaz. Varlıklı kişi ise en güzel şeylerde bilekusur bulur; çekinmeden her şeyi söyler.

===Kaynakça===
*{{Aksoy, Ömer Asım-ADS-1995}}"
"Aç ölmez, gözü kararır; susuz ölmez, benzi sararır",230248,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Aç]] ölmez, gözü kararır; susuz ölmez, benzi sararır

:[1] Yoksulluk insanı öldürmez ama, türlü türlü üzüntü ve sıkıntı içinde yıpratır.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Aç tavuk kendini arpa ambarında sanır,220946,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}

:Bulaşık[1] ""İnsanlar, yokluğunu, yoksulluğunu çektikleri şeyler için olmayacak düşler kurar."" anlamında bir söz."
Aç tavuk kendini buğday ambarında sanır,230268,"== Türkçe ==

===Atasözü===
{{tr-atasözü}}
# İnsanlar, [[yokluk|yokluğunu]], [[yoksulluk|yoksulluğunu]] çektikleri şeyler için olmayacak şeylerin [[düş]]lerini kurar..

===Kaynakça===
* {{Aksoy, Ömer Asım-ADS-1995}}"
Aç yar onda sarpın kurcalanmaz,230269,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Aç]] yar onda sarpın kurcalanmaz

:[1] Bir nesneden yoksun olan kişi yanında o nesne üzerine dikkati çekecek davranışlarda bulunulmamalıdır.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
"Aç, yanından kaç",230235,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Aç]], yanından kaç

:[1] Yoksul ile arkadaş olmaya gelmez. Çünkü sonu gelmeyen istekleriyle seni rahatsız eder.Dahası, kendi çıkarı için sana fenalık yapabilir.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Aça kuru ekmek bal helvası gibi gelir,230244,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Aça]] kuru ekmek bal helvası gibi gelir

:[1] İş bulamayan kişi, eline geçen çok küçük bir işi büyük bir nimet sayar.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Açık ağız aç kalmaz,326096,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
Açık ağız [[aç]] kalmaz
# [[istek|isteklerini]] [[uygun]] bir [[biçim|biçimde]] [[söyleme|söylemesini]] [[bilmek|bilen]] [[kişi]] [[on|onları]] [[en]]inde [[sonunda]] [[el|elde]] anlamında kullanılan bir söz"
Açık göte herkes tükürür,230236,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Açık]] göte herkes tükürür

:[1] Utanç verici, iğrendirici davranışları herkes ayıplar, tiksinti ile karşılar.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Açık kaba it değer,230237,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Açık]] kaba it değer

:[1] Gizli kalması gereken şeyler herkese açılırsa bundan büyük zararlar doğar.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Açık yaraya tuz ekilmez,230238,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Açık]] yaraya tuz ekilmez

:[1] Acısı taze olan kimsenin üzüntüsü, birtakım söz ve davranışlarla artırılmamalıdır.
:[2] Üzüntüsü büyük olan bir kimsenin, onun acılarını artıracak söz ve davranışlardan kaçınmalıyız."
"Açılan solar, ağlayan güler",230239,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Açılan]] solar, ağlayan güler

:[1] Hiçbir durum olduğu gibi kalmaz, tersine döner: Güzel çirkinleşir, üzüntülü olan mutluluğakavuşur.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Açın gözü ekmek teknesinde olur,230240,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Açın]] gözü ekmek teknesinde olur

:[1] Kişinin bütün düşündüğü şey, yaşaması için büyük değer taşıyan şeyi elde etmektir.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Açın imanı olmaz,230241,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Açın]] imanı olmaz

:[1] Aç olan kimse, karnını doyurabilmek için her şeyi yapar: İnsafsızdır, ahlak ve din kuralları da tanımaz.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
"Açın karnı doyar, gözü doymaz",362202,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}

[[Aç]]ın [[karın|karnı]] doyar, [[göz]]ü doymaz
:[1] Bir şeyin uzun süren yokluğu açlık ve doyumsuzluk duygusuna iter insanı; bu insan hiç doymamış, aç kalacakmış gibi davranır; gözü nesnelerde kalır, o nesneleri kaybedecek sanısına kapılır.
:[2] İhtiraslı kişi elindekiyle yetinmez, daha fazlasını ister."
Açın koynunda ekmek durmaz,230242,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Açın]] koynunda ekmek durmaz

:[1] Kazancı kendisine yetmeyen kişi, eline geçeni hemen harcar; yarına bir şey saklayamaz.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Açın kursağına çörek dayanmaz,230243,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Açın]] kursağına çörek dayanmaz

:[1] Yoksulluk içinde bulunan kimse kolay kolay genişliğe kavuşamaz. Bir eksiği giderilirsebaşka bir eksiği kendini gösterir.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Açlık ile tokluğun arası yarım yufka,230245,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Açlık]] ile tokluğun arası yarım yufka

:[1] Yoksulluğa yerinmemeli. Küçük bir şey, en büyük gerekseme duygumuzu gidermeye yeter.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
"Açma sırrını dostuna, o da söyler dostuna",230246,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Açma]] sırrını dostuna, o da söyler dostuna

:[1] Bir sır, dosta bile açılmamalıdır. Açılırsa o da kendi dostuna anlatır. Bundan üçüncü kişi duyar. Böylece sır yayılır, sır olmaktan çıkar.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
"Açtırma kutuyu, söyletme kötüyü",230247,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Açtırma]] kutuyu, söyletme kötüyü

:[1] Karşındakini kızdırarak seninle ilgili kötü şeyleri ortaya dökmesine, senin için kötü sözlersöylemesine yol açma.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
"Ada bana, adayım sana",230355,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Ada]] bana, adayım sana

:[1] Sen bir kimse için fedakarlıkta bulunursan o da senin için fedakarlıkta bulunur.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
